"id"	"ask"	"answer"	"lable"
"228"	"明年在说"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"229"	"六月底才能拿到房"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"230"	"过二年吧"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"231"	"近两年应该不会装"	"亲，房子住久了换一个风格，换一种感觉也不错喔~"	"预计装修时间"
"232"	"一年内吧"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"233"	"要2024年"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"234"	"工期大概是多少"	"亲，我们需要根据您的房屋实际情况（大小/风格等），才能估算工期~"	"预计装修时间"
"235"	"一年后"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"236"	"一时半会儿不装修 就是看看先"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"237"	"几年之内都不会有呢，等将来需要装修了再联系你们"	"亲，房子住久了换一个风格，换一种感觉也不错喔~"	"预计装修时间"
"238"	"语音识别结果:我那房子七月八月，这两个月收获了想装修一下。"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"239"	"期房明年交房找你们！谢谢了"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房哟~"	"预计装修时间"
"240"	"估计下半年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"241"	"还不知道，上半年准备买好他"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"预计装修时间"
"242"	"等到年底"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"243"	"还没买房呢，估计要三五年后才买，所以在学装修知识"	"亲亲可以先关注咱们公众号，装修都是要提前了解的，设计图纸以及装修施工都比较费时"	"预计装修时间"
"244"	"这个整体重新装修大概需要多久"	"亲，装修时间需要先了解您的房子情况，估算出工期哟
聊聊您的具体需求先哈~"	"预计装修时间"
"245"	"今年还不准备装，明年装的时候再找你"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"246"	"还早，要8月份"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"247"	"马上"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"248"	"金山区，房子还在造，拿房还早了"	"亲亲可以先关注咱们公众号，装修都是要提前了解的，设计图纸以及装修施工都比较费时"	"预计装修时间"
"249"	"只能到交房在看了"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"预计装修时间"
"250"	"这两个月"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"251"	"现在也说不清楚 要装肯定也要到下半年了的吧"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"252"	"现在不着急 晚点等到8月左右再说的吧"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"253"	"三年后…"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"254"	"二年"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"255"	"近2个月"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"256"	"期房要2023年底交付"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"257"	"半年内"	"亲，帮您把家设计的美美哒~聊聊您的具体需求"	"预计装修时间"
"258"	"一年半"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"259"	"清明节后联系"	"亲，帮您把家设计的美美哒~聊聊您的具体需求"	"预计装修时间"
"260"	"要过两年吧"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"261"	"国庆节左右"	"亲，帮您把家设计的美美哒~聊聊您的具体需求"	"预计装修时间"
"262"	"我们要10月才装修，现关心一下"	"亲，帮您把家设计的美美哒~聊聊您的具体需求"	"预计装修时间"
"263"	"我的要12月才能拿到"	"亲，需要先了解您的房子情况，才好估算出工期喔。聊聊您的具体需求先哈~"	"预计装修时间"
"264"	"最近半年"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"265"	"4月"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"266"	"房子要六月拿到，现保存个联系方式，到时有需要会联系您。"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"267"	"四五月份吧"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"268"	"我正好看到你们的广告，可能明年一月份"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"269"	"我的是期房，到十月才交房。"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"270"	"我家的房子还没拿到要9月份了，我就是想了解一下"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"271"	"大概4月底吧"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"272"	"6-7月可能"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"273"	"我五月份才准备装修，现在先看看"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"274"	"还要过几个月"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"275"	"还早呢，要到下半年了"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"276"	"我们要10月才装修，现关心一下"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"277"	"我的要12月才能拿到"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"278"	"流程比较长，可能要9月后"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"279"	"要到7月才能拿到"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"280"	"最近半年"	"亲，聊聊您的装修需求，立即匹配资深设计师为您服务喔"	"预计装修时间"
"281"	"1年后"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"282"	"我房子要到5月到手，到时我再联系你"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"283"	"不确定，，几个月"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"284"	"下半年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"285"	"要半年后考虑，"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"286"	"我要到年底再说了。"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"287"	"明年的12月底吧"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"288"	"只是瞎看看，最近没有计划，要明后年了"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"289"	"今年下半年大概"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"290"	"明年准备装修"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"291"	"3月份"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"292"	"我们要下半年再拿房子"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，跟我聊聊装修需求吧~"	"预计装修时间"
"293"	"六月份"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"294"	"5.6月吧"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"295"	"我房子明年4月才交房，所以暂时不急"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"296"	"需求可能在明天6月"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"297"	"没有那么快装修，打算明年重新装一下"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"298"	"9月搬家进去"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"299"	"先不急6月才动，大约多少"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"300"	"近一年吧"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"301"	"下半年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"302"	"新房要8月份拿到"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"303"	"下半年吧"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"304"	"大概过来年吧！"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"305"	"七八月份"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"306"	"半年内"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"307"	"最近半年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"308"	"半年内"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"309"	"近期"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"310"	"一年内，如果顺利的话半年内可以装修"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"311"	"半年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"312"	"还没想好"	"亲，专业的装修交给专业人，我们有15年的设计师为您服务~聊聊您的具体需求吧"	"预计装修时间"
"313"	"估计一年内"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"314"	"过年后，开始"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"315"	"年后就装修"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"316"	"一年内"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"317"	"随时"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"318"	"越快越好"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"319"	"没事，我自己看看你们的推送就可以了，要明年才交房呢"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"320"	"过了年有想法装修，只装厨房，卫生间"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"预计装修时间"
"321"	"没有计划，方案满意了就开始"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
